split,task,regime,seed,stress,single_load,interaction_load,temporal_load,safety_load,false_alarm_load,language_load,drift_load
nominal,grasp_selection_under_occlusion,vision_dropout,0,0.10000,0.47756,0.13398,0.03020,0.11322,0.09810,0.01071,0.16440
nominal,grasp_selection_under_occlusion,vision_dropout,1,0.10000,0.47756,0.13398,0.03020,0.11322,0.09810,0.01071,0.16440
nominal,grasp_selection_under_occlusion,vision_dropout,2,0.10000,0.47756,0.13398,0.03020,0.11322,0.09810,0.01071,0.16440
nominal,grasp_selection_under_occlusion,vision_dropout,3,0.10000,0.47756,0.13398,0.03020,0.11322,0.09810,0.01071,0.16440
nominal,grasp_selection_under_occlusion,vision_dropout,4,0.10000,0.47756,0.13398,0.03020,0.11322,0.09810,0.01071,0.16440
nominal,grasp_selection_under_occlusion,vision_dropout,5,0.10000,0.47756,0.13398,0.03020,0.11322,0.09810,0.01071,0.16440
nominal,grasp_selection_under_occlusion,vision_dropout,6,0.10000,0.47756,0.13398,0.03020,0.11322,0.09810,0.01071,0.16440
nominal,grasp_selection_under_occlusion,vision_dropout,7,0.10000,0.47756,0.13398,0.03020,0.11322,0.09810,0.01071,0.16440
nominal,grasp_selection_under_occlusion,vision_dropout,8,0.10000,0.47756,0.13398,0.03020,0.11322,0.09810,0.01071,0.16440
nominal,grasp_selection_under_occlusion,vision_dropout,9,0.10000,0.47756,0.13398,0.03020,0.11322,0.09810,0.01071,0.16440
nominal,grasp_selection_under_occlusion,tactile_deadzone,0,0.10000,0.43314,0.23447,0.05663,0.20646,0.11772,0.00857,0.19728
nominal,grasp_selection_under_occlusion,tactile_deadzone,1,0.10000,0.43314,0.23447,0.05663,0.20646,0.11772,0.00857,0.19728
nominal,grasp_selection_under_occlusion,tactile_deadzone,2,0.10000,0.43314,0.23447,0.05663,0.20646,0.11772,0.00857,0.19728
nominal,grasp_selection_under_occlusion,tactile_deadzone,3,0.10000,0.43314,0.23447,0.05663,0.20646,0.11772,0.00857,0.19728
nominal,grasp_selection_under_occlusion,tactile_deadzone,4,0.10000,0.43314,0.23447,0.05663,0.20646,0.11772,0.00857,0.19728
nominal,grasp_selection_under_occlusion,tactile_deadzone,5,0.10000,0.43314,0.23447,0.05663,0.20646,0.11772,0.00857,0.19728
nominal,grasp_selection_under_occlusion,tactile_deadzone,6,0.10000,0.43314,0.23447,0.05663,0.20646,0.11772,0.00857,0.19728
nominal,grasp_selection_under_occlusion,tactile_deadzone,7,0.10000,0.43314,0.23447,0.05663,0.20646,0.11772,0.00857,0.19728
nominal,grasp_selection_under_occlusion,tactile_deadzone,8,0.10000,0.43314,0.23447,0.05663,0.20646,0.11772,0.00857,0.19728
nominal,grasp_selection_under_occlusion,tactile_deadzone,9,0.10000,0.43314,0.23447,0.05663,0.20646,0.11772,0.00857,0.19728
nominal,grasp_selection_under_occlusion,proprioceptive_bias,0,0.10000,0.42203,0.20097,0.06418,0.16650,0.10791,0.00857,0.38360
nominal,grasp_selection_under_occlusion,proprioceptive_bias,1,0.10000,0.42203,0.20097,0.06418,0.16650,0.10791,0.00857,0.38360
nominal,grasp_selection_under_occlusion,proprioceptive_bias,2,0.10000,0.42203,0.20097,0.06418,0.16650,0.10791,0.00857,0.38360
nominal,grasp_selection_under_occlusion,proprioceptive_bias,3,0.10000,0.42203,0.20097,0.06418,0.16650,0.10791,0.00857,0.38360
nominal,grasp_selection_under_occlusion,proprioceptive_bias,4,0.10000,0.42203,0.20097,0.06418,0.16650,0.10791,0.00857,0.38360
nominal,grasp_selection_under_occlusion,proprioceptive_bias,5,0.10000,0.42203,0.20097,0.06418,0.16650,0.10791,0.00857,0.38360
nominal,grasp_selection_under_occlusion,proprioceptive_bias,6,0.10000,0.42203,0.20097,0.06418,0.16650,0.10791,0.00857,0.38360
nominal,grasp_selection_under_occlusion,proprioceptive_bias,7,0.10000,0.42203,0.20097,0.06418,0.16650,0.10791,0.00857,0.38360
nominal,grasp_selection_under_occlusion,proprioceptive_bias,8,0.10000,0.42203,0.20097,0.06418,0.16650,0.10791,0.00857,0.38360
nominal,grasp_selection_under_occlusion,proprioceptive_bias,9,0.10000,0.42203,0.20097,0.06418,0.16650,0.10791,0.00857,0.38360
nominal,grasp_selection_under_occlusion,force_torque_drift,0,0.10000,0.45535,0.30146,0.07928,0.24642,0.14715,0.00857,0.41648
nominal,grasp_selection_under_occlusion,force_torque_drift,1,0.10000,0.45535,0.30146,0.07928,0.24642,0.14715,0.00857,0.41648
nominal,grasp_selection_under_occlusion,force_torque_drift,2,0.10000,0.45535,0.30146,0.07928,0.24642,0.14715,0.00857,0.41648
